"","County","FIPS","AdjRate","PopCounty","Population","SFIPS","CFIPS","MedIncome","SESName","rateDay","rateAny","rate100","MetalName","Ascounty","smkrate","lnAs","lnInc","lnsmk","wvkyid"
"1","Alameda County, California","06001",59,"Alameda County, California",1443741,6,"001",55551," Alameda County                             ",0.0936254980079681,0.127490039840637,0.428286852589641,"Alameda County, California",9.7,0.428286852589641,0.092749610203891,0.459845370046061,0.428286852589641,0
"2","Alpine County, California","06003",51,"Alpine County, California",1208,6,"003",39640," Alpine County                              ",NA,NA,NA,"Alpine County, California",6,NA,-0.387616806077391,0.122382561784059,NA,0
"3","Amador County, California","06005",75,"Amador County, California",35100,6,"005",42701," Amador County                              ",0.125,0.166666666666667,0.5,"Amador County, California",11,0.5,0.218518997492925,0.196766191486374,0.5,0
"4","Butte County, California","06007",76,"Butte County, California",203171,6,"007",31963," Butte County                               ",0.128440366972477,0.155963302752294,0.486238532110092,"Butte County, California",5.12702702702703,0.486238532110092,-0.544850311008702,-0.0928771638507495,0.486238532110092,0
"5","Calaveras County, California","06009",63,"Calaveras County, California",40554,6,"009",41460," Calaveras County                           ",0.233333333333333,0.3,0.7,"Calaveras County, California",7.2,0.7,-0.205295249283436,0.167272959329905,0.7,0
"6","Colusa County, California","06011",67,"Colusa County, California",18804,6,"011",35623," Colusa County                              ",0.090909090909091,0.181818181818182,0.454545454545455,"Colusa County, California",10.0214285714286,0.454545454545455,0.125349382187711,0.0155353489842813,0.454545454545455,0
"7","Contra Costa County, California","06013",60,"Contra Costa County, California",948816,6,"013",64040," Contra Costa County                        ",0.0825242718446602,0.111650485436893,0.412621359223301,"Contra Costa County, California",9.54,0.412621359223301,0.0761172101547491,0.602051740450786,0.412621359223301,0
"8","Del Norte County, California","06015",82,"Del Norte County, California",27507,6,"015",30166," Del Norte County                           ",0.25,0.25,0.416666666666667,"Del Norte County, California",11.1,0.416666666666667,0.227568833012842,-0.150740685331668,0.416666666666667,0
"9","El Dorado County, California","06017",64,"El Dorado County, California",156299,6,"017",52155," El Dorado County                           ",0.0891089108910891,0.138613861386139,0.356435643564356,"El Dorado County, California",15.9,0.356435643564356,0.58694283392074,0.396763906450207,0.356435643564356,0
"10","Fresno County, California","06019",59,"Fresno County, California",799407,6,"019",34930," Fresno County                              ",0.111498257839721,0.146341463414634,0.397212543554007,"Fresno County, California",6.44058823529412,0.397212543554007,-0.316756398476329,-0.00411008885898667,0.397212543554007,0
"11","Glenn County, California","06021",63,"Glenn County, California",26453,6,"021",32321," Glenn County                               ",0.0833333333333333,0.0833333333333333,0.25,"Glenn County, California",8.472,0.25,-0.0426096670063405,-0.0817389739094239,0.25,0
"12","Humboldt County, California","06023",76,"Humboldt County, California",126518,6,"023",32098," Humboldt County                            ",0.141176470588235,0.2,0.529411764705882,"Humboldt County, California",7.82739726027397,0.529411764705882,-0.121746226657165,-0.0886624247787626,0.529411764705882,0
"13","Imperial County, California","06025",55,"Imperial County, California",142361,6,"025",31651," Imperial County                            ",0.109090909090909,0.181818181818182,0.436363636363636,"Imperial County, California",6.95375,0.436363636363636,-0.24009519289808,-0.102686404010052,0.436363636363636,0
"14","Inyo County, California","06027",74,"Inyo County, California",17945,6,"027",36377," Inyo County                                ",0.0526315789473684,0.0526315789473684,0.473684210526316,"Inyo County, California",13.6681614349776,0.473684210526316,0.435692870040972,0.0364805591202977,0.473684210526316,0
"15","Kern County, California","06029",71,"Kern County, California",661645,6,"029",36446," Kern County                                ",0.131578947368421,0.161654135338346,0.473684210526316,"Kern County, California",15.5255707762557,0.473684210526316,0.563112116814494,0.0383755653861364,0.473684210526316,0
"16","Kings County, California","06031",61,"Kings County, California",129461,6,"031",34724," Kings County                               ",0.142857142857143,0.238095238095238,0.5,"Kings County, California",5.80588235294118,0.5,-0.420504672922226,-0.0100250571481659,0.5,0
"17","Lake County, California","06033",102,"Lake County, California",58309,6,"033",29935," Lake County                                ",0.125,0.2,0.725,"Lake County, California",10.0828571428571,0.725,0.131460393886365,-0.158427783300413,0.725,0
"18","Lassen County, California","06035",46,"Lassen County, California",33828,6,"035",37358," Lassen County                              ",0,0,0.444444444444444,"Lassen County, California",4.9390243902439,0.444444444444444,-0.58220845546316,0.0630909310593832,0.444444444444444,0
"19","Los Angeles County, California","06037",52,"Los Angeles County, California",9519338,6,"037",42045," Los Angeles County                         ",0.0655405405405405,0.107432432432432,0.382432432432432,"Los Angeles County, California",11.7197183098592,0.382432432432432,0.281896473559623,0.181284325607134,0.382432432432432,0
"20","Madera County, California","06039",63,"Madera County, California",123109,6,"039",35248," Madera County                              ",0.181818181818182,0.218181818181818,0.509090909090909,"Madera County, California",4.68039215686275,0.509090909090909,-0.635994374684987,0.00495264238225879,0.509090909090909,0
"21","Marin County, California","06041",51,"Marin County, California",247289,6,"041",72301," Marin County                               ",0.0504201680672269,0.0840336134453782,0.495798319327731,"Marin County, California",7.64285714285714,0.495798319327731,-0.145604770458798,0.723381812649984,0.495798319327731,0
"22","Mariposa County, California","06043",79,"Mariposa County, California",17130,6,"043",35151," Mariposa County                            ",0.222222222222222,0.222222222222222,0.555555555555556,"Mariposa County, California",13.3230769230769,0.555555555555556,0.410121363361352,0.00219691967640046,0.555555555555556,0
"23","Mendocino County, California","06045",70,"Mendocino County, California",86265,6,"045",36240," Mendocino County                           ",0.145454545454545,0.181818181818182,0.545454545454545,"Mendocino County, California",7.45657894736842,0.545454545454545,-0.170279552416203,0.0327073334970507,0.545454545454545,0
"24","Merced County, California","06047",63,"Merced County, California",210554,6,"047",34474," Merced County                              ",0.0842105263157895,0.147368421052632,0.389473684210526,"Merced County, California",6.31363636363636,0.389473684210526,-0.336664478903464,-0.0172507309455288,0.389473684210526,0
"25","Modoc County, California","06049",49,"Modoc County, California",9449,6,"049",28859," Modoc County                               ",NA,NA,NA,"Modoc County, California",8.03488372093023,NA,-0.095583747791284,-0.195034244966980,NA,0
"26","Mono County, California","06051",33,"Mono County, California",12853,6,"051",44382," Mono County                                ",0,0.090909090909091,0.363636363636364,"Mono County, California",17.15,0.363636363636364,0.662621898306503,0.235377834156058,0.363636363636364,0
"27","Monterey County, California","06053",56,"Monterey County, California",401762,6,"053",47073," Monterey County                            ",0.08,0.1,0.393333333333333,"Monterey County, California",7.32962962962963,0.393333333333333,-0.187451288701255,0.294243440567314,0.393333333333333,0
"28","Napa County, California","06055",67,"Napa County, California",124279,6,"055",52262," Napa County                                ",0.0317460317460317,0.0952380952380952,0.46031746031746,"Napa County, California",10.5375,0.46031746031746,0.175564048022528,0.398813381869978,0.46031746031746,0
"29","Nevada County, California","06057",63,"Nevada County, California",92033,6,"057",46777," Nevada County                              ",0.0684931506849315,0.0821917808219178,0.506849315068493,"Nevada County, California",11.7157894736842,0.506849315068493,0.281561184369558,0.287935481451818,0.506849315068493,0
"30","Orange County, California","06059",56,"Orange County, California",2846289,6,"059",55654," Orange County                              ",0.0560253699788584,0.090909090909091,0.413319238900634,"Orange County, California",10.7555555555556,0.413319238900634,0.196046141640866,0.461697805268468,0.413319238900634,0
"31","Placer County, California","06061",69,"Placer County, California",248399,6,"061",59153," Placer County                              ",0.0632911392405063,0.0759493670886076,0.360759493670886,"Placer County, California",9.92962962962963,0.360759493670886,0.116146903932139,0.522671159972784,0.360759493670886,0
"32","Plumas County, California","06063",82,"Plumas County, California",20824,6,"063",38225," Plumas County                              ",0,0,0.533333333333333,"Plumas County, California",12.5705882352941,0.533333333333333,0.35198354296344,0.0860336041373984,0.533333333333333,0
"33","Riverside County, California","06065",66,"Riverside County, California",1545387,6,"065",43558," Riverside County                           ",0.105797101449275,0.144927536231884,0.433333333333333,"Riverside County, California",6.15128205128205,0.433333333333333,-0.362715751589443,0.216637235650689,0.433333333333333,0
"34","Sacramento County, California","06067",71,"Sacramento County, California",1223499,6,"067",44796," Sacramento County                          ",0.0857664233576642,0.125912408759124,0.427007299270073,"Sacramento County, California",9.45,0.427007299270073,0.0666384662002053,0.244662702042719,0.427007299270073,0
"35","San Benito County, California","06069",43,"San Benito County, California",53234,6,"069",56191," San Benito County                          ",0,0,0.0833333333333333,"San Benito County, California",10.3942857142857,0.0833333333333333,0.161879929289162,0.471300454049008,0.0833333333333333,0
"36","San Bernardino County, California","06071",66,"San Bernardino County, California",1709434,6,"071",40950," San Bernardino County                      ",0.128571428571429,0.171428571428571,0.407936507936508,"San Bernardino County, California",13.9399684044234,0.407936507936508,0.455383863483716,0.154895662621351,0.407936507936508,0
"37","San Diego County, California","06073",60,"San Diego County, California",2813833,6,"073",48363," San Diego County                           ",0.0769230769230769,0.126696832579186,0.424434389140271,"San Diego County, California",3.88837209302326,0.424434389140271,-0.821385690348407,0.321278910884244,0.424434389140271,0
"38","San Francisco County, California","06075",57,"San Francisco County, California",776733,6,"075",55761," San Francisco County                       ",0.0551948051948052,0.090909090909091,0.392857142857143,"San Francisco County, California",NA,0.392857142857143,NA,0.463618552616598,0.392857142857143,0
"39","San Joaquin County, California","06077",73,"San Joaquin County, California",563598,6,"077",40633," San Joaquin County                         ",0.106194690265487,0.146017699115044,0.420353982300885,"San Joaquin County, California",7.58571428571429,0.420353982300885,-0.153109496112866,0.147124396662292,0.420353982300885,0
"40","San Luis Obispo County, California","06079",62,"San Luis Obispo County, California",246681,6,"079",42498," San Luis Obispo County                     ",0.062992125984252,0.0708661417322835,0.448818897637795,"San Luis Obispo County, California",6.16875,0.448818897637795,-0.359880051105791,0.192000868321813,0.448818897637795,0
"41","San Mateo County, California","06081",54,"San Mateo County, California",707161,6,"081",70492," San Mateo County                           ",0.0614035087719298,0.100877192982456,0.394736842105263,"San Mateo County, California",3.82,0.394736842105263,-0.839125852686962,0.698043080524394,0.394736842105263,0
"42","Santa Barbara County, California","06083",52,"Santa Barbara County, California",399347,6,"083",46908," Santa Barbara County                       ",0.0845070422535211,0.0985915492957746,0.408450704225352,"Santa Barbara County, California",8.04137931034483,0.408450704225352,-0.0947756508155826,0.290732088921091,0.408450704225352,0
"43","Santa Clara County, California","06085",49,"Santa Clara County, California",1682585,6,"085",74705," Santa Clara County                         ",0.0555555555555556,0.0770609318996416,0.340501792114695,"Santa Clara County, California",6.66923076923077,0.340501792114695,-0.281871748980487,0.75609087662532,0.340501792114695,0
"44","Santa Cruz County, California","06087",54,"Santa Cruz County, California",255602,6,"087",53787," Santa Cruz County                          ",0.0575539568345324,0.0863309352517986,0.446043165467626,"Santa Cruz County, California",5.51666666666667,0.446043165467626,-0.471602462150484,0.427575654603672,0.446043165467626,0
"45","Shasta County, California","06089",88,"Shasta County, California",163256,6,"089",34991," Shasta County                              ",0.121739130434783,0.156521739130435,0.452173913043478,"Shasta County, California",7.44626865671642,0.452173913043478,-0.17166321982942,-0.00236526211235066,0.452173913043478,0
"46","Sierra County, California","06091",71,"Sierra County, California",3555,6,"091",37770," Sierra County                              ",NA,NA,NA,"Sierra County, California",8.55714285714286,NA,-0.0326099192393556,0.0740589890466374,NA,0
"47","Siskiyou County, California","06093",76,"Siskiyou County, California",44301,6,"093",30589," Siskiyou County                            ",0.178571428571429,0.214285714285714,0.535714285714286,"Siskiyou County, California",5.86694915254237,0.535714285714286,-0.410041512087131,-0.136815680470965,0.535714285714286,0
"48","Solano County, California","06095",72,"Solano County, California",394542,6,"095",53954," Solano County                              ",0.0725806451612903,0.129032258064516,0.387096774193548,"Solano County, California",13.41,0.387096774193548,0.416624421988141,0.430675684002725,0.387096774193548,0
"49","Sonoma County, California","06097",62,"Sonoma County, California",458614,6,"097",53193," Sonoma County                              ",0.0740740740740741,0.0987654320987654,0.502057613168724,"Sonoma County, California",7.79130434782609,0.502057613168724,-0.126367990693765,0.416470661065233,0.502057613168724,0
"50","Stanislaus County, California","06099",69,"Stanislaus County, California",446997,6,"099",40054," Stanislaus County                          ",0.141304347826087,0.168478260869565,0.445652173913043,"Stanislaus County, California",4.96774193548387,0.445652173913043,-0.576410877376963,0.132772396005505,0.445652173913043,0
"51","Sutter County, California","06101",73,"Sutter County, California",78930,6,"101",38698," Sutter County                              ",0.21875,0.25,0.4375,"Sutter County, California",10.588,0.4375,0.180345009059409,0.0983317714360084,0.4375,0
"52","Tehama County, California","06103",100,"Tehama County, California",56039,6,"103",31575," Tehama County                              ",0,0.0714285714285714,0.428571428571429,"Tehama County, California",5.34230769230769,0.428571428571429,-0.50371856356663,-0.105090479441174,0.428571428571429,0
"53","Trinity County, California","06105",89,"Trinity County, California",13022,6,"105",28752," Trinity County                             ",0.25,0.25,1,"Trinity County, California",10.2256410256410,1,0.145522116652591,-0.198748817636524,1,0
"54","Tulare County, California","06107",59,"Tulare County, California",368021,6,"107",32253," Tulare County                              ",0.129032258064516,0.148387096774194,0.445161290322581,"Tulare County, California",4.97166666666667,0.445161290322581,-0.575621146006844,-0.0838450855065265,0.445161290322581,0
"55","Tuolumne County, California","06109",82,"Tuolumne County, California",54501,6,"109",38770," Tuolumne County                            ",0.15625,0.25,0.59375,"Tuolumne County, California",5.10476190476190,0.59375,-0.549202464392167,0.100190604005110,0.59375,0
"56","Ventura County, California","06111",56,"Ventura County, California",753197,6,"111",57164," Ventura County                             ",0.0766550522648084,0.132404181184669,0.439024390243902,"Ventura County, California",6.77777777777778,0.439024390243902,-0.265726988468354,0.488468181941821,0.439024390243902,0
"57","Yolo County, California","06113",66,"Yolo County, California",168660,6,"113",42670," Yolo County                                ",0.0769230769230769,0.128205128205128,0.41025641025641,"Yolo County, California",9.8,0.41025641025641,0.103006110371080,0.196039949522181,0.41025641025641,0
