Participant	Sex	Digit Ratio	Intuitive Physics Test	RT_same_0	RT_same_20	RT_same_40	RT_same_60	RT_same_80	RT_same_100	RT_same_120	RT_diff_0	RT_diff_20	RT_diff_40	RT_diff_60	RT_diff_80	RT_diff_100	RT_diff_120	Acc_same_0	Acc_same_20	Acc_same_40	Acc_same_60	Acc_same_80	Acc_same_100	Acc_same_120	Acc_diff_0	Acc_diff_20	Acc_diff_40	Acc_diff_60	Acc_diff_80	Acc_diff_100	Acc_diff_120
3059	1	0.99	5	1247	1332	1584	1958	1997	2634	2548	1783	2213	2305	2135	2737	2617	3076	100	100	94	84	84	78	88	100	100	97	88	72	97	94
10511	1	1	2	2458	2949	3632	4762	4242	6037	4645	1848	4074	4485	5347	5408	7014	5233	100	91	91	88	84	56	66	94	81	84	88	84	75	84
10512	1	0.96	8	3025	3597	2609	3511	4140	3343	3091	3395	4512	3670	4650	5549	4681	3952	97	97	97	97	84	69	72	88	84	91	84	81	81	78
10513	1	0.96	13	1182	1577	2195	1875	2068	3113	4181	2113	2484	2568	2744	2802	2676	3124	100	100	88	72	81	59	56	100	94	94	94	88	84	78
10516	1	0.89	7	1840	3455	2516	2551	3888	2497	4208	1701	1913	2695	2987	3386	3925	5061	91	78	81	66	65	59	66	63	63	63	53	50	50	41
14514	1	0.93	9	1079	1666	2042	1952	2414	3093	3456	1439	2431	2555	2588	3223	2949	3160	100	94	88	94	84	91	81	97	94	94	97	94	88	94
16509	1	0.99	10	792	1094	1225	1230	1543	2006	1892	1115	1240	1375	1388	2047	1897	1787	100	84	94	100	87	81	69	100	100	97	91	94	94	88
16510	1	0.97	11	2050	2310	2712	2591	2775	3112	2705	1935	2122	2463	2628	2828	2897	2708	91	88	81	88	87	66	63	78	78	56	44	44	41	53
17510	1	0.99	12	1545	1850	2087	2694	2986	3383	3144	1994	1745	3066	2465	3364	2857	3263	97	94	88	78	61	69	50	78	81	63	53	72	66	56
17511	1	1.07	6	1182	1149	1741	1748	2843	2631	3001	1388	2394	1686	2335	2476	2406	2469	97	100	97	97	90	78	75	97	100	91	81	97	81	81
17514	1	1.03	10	1297	1295	1602	1795	2183	2631	2869	2203	2831	2890	3351	2994	3076	4287	100	94	91	88	94	84	75	94	94	88	88	97	88	94
17518	1	1.05	12	1581	2893	2672	2680	2898	3107	4108	1808	2724	3439	4804	4311	4306	4130	94	100	100	97	97	91	84	100	100	97	97	97	77	84
19410	1	0.96	7	1359	1768	2186	2466	2832	3649	3437	1909	2703	2675	2692	3562	2957	3022	100	94	94	91	61	75	75	100	91	72	72	81	78	78
23409	1	0.98	6	1026	1331	1963	1839	2494	2774	3054	1881	2144	2211	2271	2608	2827	3126	100	88	97	94	87	91	81	97	100	88	88	81	81	91
23410	1	0.96	9	1267	1674	1728	1801	2132	2211	2631	2281	2242	2960	2348	2812	2581	2953	97	100	91	91	87	78	78	84	97	91	94	94	91	91
23411	1	1	7	1207	1854	1954	2024	2379	2448	2596	1495	1892	1860	2146	1712	2229	2255	91	91	84	56	71	47	47	88	72	69	56	53	50	66
23412	1	1	6	930	1254	1432	1926	2096	2207	2495	1003	1121	1829	2037	2217	2055	2417	97	100	97	100	90	84	78	94	91	91	91	88	81	75
23413	1	0.96	8	1772	1999	2174	2694	2721	3510	3790	2659	3248	3647	3565	4723	4826	4285	100	97	88	88	74	84	78	81	75	84	75	72	69	75
23415	1	1	10	1900	2546	3121	2947	3665	4220	4492	2172	2803	4249	4097	5598	4451	5081	100	100	91	88	90	88	88	97	94	97	88	91	91	97
26411	1	0.98	9	1226	1886	2059	2080	2455	3507	3490	1717	1801	2961	3388	3168	3465	2913	100	100	94	88	84	88	91	97	97	94	94	97	94	91
26412	1	0.96	13	1238	1670	2009	2220	2346	2592	2636	1515	2009	2324	2748	2653	2850	2580	100	100	94	100	100	97	88	97	100	100	97	94	81	94
26416	1	0.93	12	1482	1698	2725	2515	2730	2341	3127	1814	2433	3942	3311	4138	3310	3972	97	100	100	94	90	75	75	97	100	97	91	94	94	84
30512	1	1.05	8	1451	1776	2152	1928	2332	2244	2456	1753	2222	2494	1977	2694	2038	2608	100	91	84	84	84	59	69	72	66	50	56	38	31	47
30514	1	1.04	8	1748	2887	3198	3582	5360	5394	5619	3596	5834	6501	6305	8085	4875	7669	97	91	97	91	87	88	84	81	91	97	94	88	88	69
30516	1	0.97	12	1418	1496	1770	2018	2480	2074	1975	1899	1756	1958	2368	2283	1940	2231	94	84	91	91	74	78	75	81	69	72	72	56	44	66
2649	2	0.94	17	1287	1768	2254	1707	3180	2531	2508	2236	2286	3191	3727	3005	3048	3327	100	88	78	63	55	53	50	100	88	84	69	56	47	47
4235	2	1.06	13	1171	1272	1920	1467	2686	3593	2748	1901	1982	2318	2537	2231	3205	3127	97	100	100	94	97	91	84	94	94	97	94	94	91	88
7059	2	0.99	11	976	1115	1490	1648	2356	2440	2688	1174	1444	1835	2219	2542	2486	3508	100	100	100	97	97	88	84	100	100	97	94	97	97	84
10517	2	0.99	13	1124	1495	1728	1929	1873	2032	2224	1332	1431	1647	1873	1778	2258	1729	97	94	100	97	84	88	88	88	91	81	69	66	63	66
14510	2	0.98	12	805	1111	1338	1306	1652	1985	1774	1021	1197	1482	1577	1998	1491	1753	97	94	88	72	68	56	44	100	100	100	91	94	78	81
14511	2	0.99	16	1310	1539	1621	2238	2422	2172	2893	1896	2310	2676	3012	2791	2505	3190	100	100	94	97	94	88	75	91	100	91	88	88	94	84
14513	2	1.02	9	999	1253	1388	1272	1391	2118	1989	1539	1521	1887	1952	2156	1705	1865	100	100	97	97	97	81	81	91	94	84	84	81	88	88
14515	2	1.01	13	918	1051	1313	1161	1538	1588	1484	1023	1209	1608	1432	1519	1577	1704	100	100	100	100	94	81	81	97	97	91	91	84	94	84
14516	2	0.95	14	1122	1405	1301	1779	1769	1721	1786	1405	1755	1730	2219	2327	2175	2091	97	100	97	94	81	81	88	94	94	88	84	100	97	97
14517	2	0.98	15	1219	1606	1466	2018	2171	3425	2248	1627	2543	3031	2832	2477	3826	3996	100	100	91	100	90	88	94	97	94	91	88	94	91	94
16512	2	0.94	11	1259	1515	1535	1931	2657	2788	2623	1422	1382	1796	1982	2134	2658	2248	100	100	97	100	94	88	94	100	97	91	81	75	72	97
16514	2	0.98	10	1821	2609	2814	3827	3568	3797	4576	2377	2904	3054	4098	4437	5022	5190	100	97	97	100	100	91	84	97	100	91	94	91	94	88
16515	2	0.95	11	2013	2583	3069	3078	3801	3613	4202	3814	3841	4260	3740	3943	4717	4520	100	100	100	94	90	84	91	97	100	100	97	91	100	91
16516	2	0.93	13	940	1348	1401	1592	2225	2531	2082	2101	1915	2173	1694	1993	2203	2048	97	97	97	97	97	88	81	88	97	91	91	91	84	88
17513	2	0.97	9	1052	1679	2084	2443	2348	2696	3030	3130	2977	2018	3189	2405	3031	3635	100	84	78	59	48	59	38	69	72	50	56	59	75	50
17515	2	1.02	11	1386	1930	2506	2209	2595	2885	2800	1984	3210	2881	3025	2940	2960	2669	100	94	88	100	87	84	94	97	91	97	97	78	84	78
17517	2	0.99	11	1315	1591	2029	1829	2445	2370	2808	1682	2109	1958	2741	1907	3108	3086	100	100	97	100	94	94	88	100	100	97	100	100	94	97
23414	2	0.93	17	1387	1644	2229	1950	2573	2394	2722	1675	2049	1868	2426	2333	2645	2871	100	100	97	94	87	100	100	100	100	88	91	91	97	91
