"","yearID","teamID","ob_perc","slug_perc","ops","lgID","franchID","divID","Rank","G","Ghome","W","L","DivWin","WCWin","LgWin","WSWin","R","AB","H","X2B","X3B","HR","BB","SO","SB","CS","HBP","SF","RA","ER","ERA","CG","SHO","SV","IPouts","HA","HRA","BBA","SOA","E","DP","FP","name","park","attendance","BPF","PPF","teamIDBR","teamIDlahman45","teamIDretro","payroll","avg_pay","std_pay","z_pay"
"1",2000,"ARI",0.301621621621622,0.361837837837838,0.663459459459459,"NL","ARI","W",3,162,81,85,77,"N","N","N","N",792,5527,1466,282,44,179,535,975,97,44,59,58,754,698,4.35,16,8,38,4331,1441,190,500,1220,107,138,0.982,"Arizona Diamondbacks","Bank One Ballpark",2942251,105,103,"ARI","ARI","ARI",81027833,56488450.0714286,21731418.8398459,1.12921218395446
"2",2000,"ATL",0.243,0.300916666666667,0.543916666666667,"NL","ATL","E",1,162,81,95,67,"Y","N","N","N",810,5489,1490,274,26,179,595,1010,148,56,59,45,714,648,4.05,13,9,53,4321,1428,165,484,1093,129,138,0.979,"Atlanta Braves","Turner Field",3234304,101,99,"ATL","ATL","ATL",84537836,56488450.0714286,21731418.8398459,1.29072961757753
"3",2000,"BAL",0.2474,0.308857142857143,0.556257142857143,"AL","BAL","E",4,162,81,74,88,"N","N","N","N",794,5549,1508,310,22,184,558,900,126,65,49,54,913,855,5.37,14,6,33,4300,1547,202,665,1017,116,151,0.981,"Baltimore Orioles","Oriole Park at Camden Yards",3297031,95,96,"BAL","BAL","BAL",81447435,56488450.0714286,21731418.8398459,1.14852072533836
"4",2000,"BOS",0.264457142857143,0.306342857142857,0.5708,"AL","BOS","E",2,162,81,85,77,"N","N","N","N",792,5630,1503,316,32,167,611,1019,43,30,42,48,745,683,4.23,7,12,46,4358,1433,173,498,1121,109,120,0.982,"Boston Red Sox","Fenway Park II",2585895,104,103,"BOS","BOS","BOS",77940333,56488450.0714286,21731418.8398459,0.987136785069833
"5",2000,"CHA",0.29376,0.33968,0.63344,"AL","CHW","C",1,162,81,95,67,"Y","N","N","N",978,5646,1615,325,33,216,591,960,119,42,53,61,839,751,4.66,5,7,43,4351,1509,195,614,1037,133,190,0.978,"Chicago White Sox","Comiskey Park II",1947799,102,102,"CHW","CHA","CHA",31133500,56488450.0714286,21731418.8398459,-1.16674158545685
"6",2000,"CHN",0.27631914893617,0.30254347826087,0.563130434782609,"NL","CHC","C",6,162,81,65,97,"N","N","N","N",764,5577,1426,272,23,183,632,1120,93,37,54,45,904,849,5.25,10,5,39,4364,1505,231,658,1143,100,139,0.983,"Chicago Cubs","Wrigley Field",2789511,97,98,"CHC","CHN","CHN",60539333,56488450.0714286,21731418.8398459,0.186406739404603
"7",2000,"CIN",0.254658536585366,0.3183,0.579325,"NL","CIN","C",2,163,82,85,77,"N","N","N","N",825,5635,1545,302,36,200,559,995,100,38,64,58,765,700,4.33,8,7,42,4369,1446,190,659,1015,111,156,0.982,"Cincinnati Reds","Cinergy Field",2577371,102,102,"CIN","CIN","CIN",46867200,56488450.0714286,21731418.8398459,-0.442734556005494
"8",2000,"CLE",0.28034375,0.31690625,0.59725,"AL","CLE","C",2,162,81,90,72,"N","N","N","N",950,5683,1639,310,30,221,685,1057,113,34,51,52,816,775,4.84,6,5,34,4327,1511,173,666,1213,72,147,0.988,"Cleveland Indians","Jacobs Field",3456278,101,100,"CLE","CLE","CLE",75880771,56488450.0714286,21731418.8398459,0.892363313757243
"9",2000,"COL",0.303047619047619,0.375333333333333,0.678380952380952,"NL","COL","W",4,162,81,82,80,"N","N","N","N",968,5660,1664,320,53,161,601,907,131,61,42,75,897,835,5.26,7,2,33,4290,1568,221,588,1001,94,176,0.985,"Colorado Rockies","Coors Field",3295129,125,125,"COL","COL","COL",61111190,56488450.0714286,21731418.8398459,0.212721496126859
"10",2000,"DET",0.284758620689655,0.333724137931035,0.61848275862069,"AL","DET","C",3,162,81,79,83,"N","N","N","N",823,5644,1553,307,41,177,562,982,83,38,43,49,827,755,4.71,6,6,44,4330,1583,177,496,978,105,171,0.983,"Detroit Tigers","Comerica Park",2438617,95,95,"DET","DET","DET",58265167,56488450.0714286,21731418.8398459,0.0817579809981716
"11",2000,"FLO",0.263540540540541,0.303297297297297,0.566837837837838,"NL","FLA","E",3,161,81,79,82,"N","N","N","N",731,5509,1441,274,29,160,540,1184,168,55,60,51,797,729,4.59,5,4,48,4289,1477,169,650,1051,125,144,0.98,"Florida Marlins","Pro Player Stadium",1218326,94,95,"FLA","FLO","FLO",19872000,56488450.0714286,21731418.8398459,-1.68495441283797
