Ecotype,Temperature,Individual ID,Family,NHE2,NHE3,ECaC,V Type 1,V Type 2,NKA 203
Lake,4,37,Lake 1,2.913621472,0.993871891,1.095666683,1.695355811,1.234615997,3.172461482
Lake,4,24,Lake 1,3.154793254,0.563971683,1.246174511,2.341169293,2.612134955,3.699627446
Lake,4,7,Lake 2,3.678133504,0.7784999,1.389370685,1.753257523,1.746031113,5.135976319
Lake,4,39,Lake 2,4.309253814,1.447971896,1.684391466,2.519982494,2.864196995,9.399585333
Lake,4,46,Lake 3,1.553363875,0.91069549,1.452205122,4.059945858,2.383198043,2.100400765
Lake,4,12,Lake 3,3.664403364,0.227991886,0.741861027,1.766772367,1.384243577,2.421630855
Lake,4,38,Lake 5,3.343535848,0.721895729,0.926644763,1.232312452,1.248824712,5.904439456
Lake,4,11,Lake 5,4.318230837,0.385133838,1.54738588,3.281482707,3.481523161,3.798247481
Marine,4,17,Marine 1,4.574309144,0.888127049,0.912568314,1.717353683,2.274554097,2.772253233
Marine,4,1,Marine 1,3.312259816,0.671883825,0.810704969,1.150102025,1.657002588,3.082045018
Marine,4,26,Marine 2,3.69984152,1.156870388,0.956461859,1.229416404,1.104911095,1.927732714
Marine,4,9,Marine 2,6.373588869,0.989892941,0.950357922,1.960718419,2.261414877,5.493419089
Marine,4,19,Marine 3,4.424166328,0.816467758,0.82415408,1.49103493,1.885337219,4.198396953
Marine,4,41,Marine 3,3.902200479,1.161063731,1.077239237,2.122813619,2.506849238,2.601629763
Marine,4,34,Marine 5,5.947402813,2.026916121,0.938358351,2.033358333,2.793202665,3.319883891
Marine,4,2,Marine 5,3.521869303,0.658448853,0.611898526,1.315458789,2.47352429,3.373583497
Hybrid,4,44,Hybrid 6,7.817735142,1.565644086,1.461778759,1.531316457,2.978836895,6.969036384
Hybrid,4,27,Hybrid 6,4.076362057,0.791339434,1.27158903,1.558918638,2.135118011,6.222198074
Hybrid,4,32,Hybrid 7,3.262019521,1.373788558,1.577101388,1.652565482,2.598297297,4.365990908
Hybrid,4,22,Hybrid 7,3.041897827,0.369200934,0.867102939,1.602689987,2.638202607,3.006373426
Hybrid,4,31,Hybrid 8,3.754955293,1.104452781,0.814931406,1.103616037,1.264641539,3.546064621
Hybrid,4,42,Hybrid 8,2.373141322,0.795690587,0.796424181,1.720838346,2.101553047,2.205113596
Hybrid,4,8,Hybrid 9,4.190988006,0.643823681,1.234685195,1.534751479,2.90179723,4.041297479
Hybrid,4,18,Hybrid 9,2.407822544,0.4790659,0.831438952,1.429898437,1.13170088,2.347458596
Lake,14,33,Lake 1,1.984601839,0.692158588,1.355170808,2.104706346,1.673821187,2.057259904
Lake,14,20,Lake 1,1.886694969,0.495688232,1.39037344,1.696812022,1.348000321,1.14404623
Lake,14,47,Lake 2,4.528242436,1.100826253,1.526084695,1.345936169,1.775746087,3.777286921
Lake,14,28,Lake 2,5.614732792,1.012477932,1.31493514,1.518379717,2.18910238,5.385703596
Lake,14,43,Lake 3,1.77537066,0.543212648,1.050795444,3.147346911,1.525737799,1.340166225
Lake,14,13,Lake 3,2.27036734,0.242032526,0.848287745,2.03770566,1.114534877,2.973334954
Lake,14,30,Lake 5,2.432239522,0.987170708,1.567457479,2.052048498,1.747067814,2.275369988
Lake,14,6,Lake 5,2.018818315,0.283848105,0.958468808,1.908596044,1.432009359,1.915051238
Marine,14,29,Marine 1,4.734657565,0.744534677,1.186353236,1.626309013,1.674439855,5.644710182
Marine,14,4,Marine 1,1.137288976,0.285666875,0.918096659,2.358977538,1.879602849,2.338455986
Marine,14,48,Marine 2,2.084809485,0.433850823,0.905183084,1.542936017,1.126649152,0.800652839
Marine,14,3,Marine 2,1.688362305,0.300555789,0.758017519,2.55081132,ND,1.72837247
Marine,14,23,Marine 3,3.257523701,0.18253572,0.610441501,1.177229486,1.552114609,1.584258874
Marine,14,14,Marine 3,3.821534376,0.287533675,0.919542984,1.368194155,2.084378647,2.572420657
Marine,14,21,Marine 5,3.623815552,0.441340694,0.972918103,1.592954261,1.514707649,2.623790678
Marine,14,10,Marine 5,5.485787406,0.292759146,0.816827874,0.611361786,1.080212796,3.108313592
Hybrid,14,35,Hybrid 6,5.078912214,0.747441205,1.548390557,2.216076057,1.909633501,3.00544042
Hybrid,14,45,Hybrid 6,5.271199256,0.919983271,1.854527142,1.86936874,1.79724484,6.235580213
Hybrid,14,5,Hybrid 7,4.500587311,0.389410584,1.089913682,2.169454232,1.936770427,4.079833678
Hybrid,14,40,Hybrid 7,3.137637586,0.535522704,1.023210035,2.393603318,3.891502685,3.470869536
Hybrid,14,36,Hybrid 8,2.337530701,0.485477588,1.517014505,2.906795396,1.792776246,1.130037142
Hybrid,14,16,Hybrid 8,2.595639995,0.322677784,0.937481797,1.977959637,1.156446393,2.079282628
Hybrid,14,15,Hybrid 9,2.454422002,0.492002114,0.803827985,2.769590285,3.193331385,2.238602347
Hybrid,14,25,Hybrid 9,2.930322795,1.020811659,1.249714755,1.837014336,1.726652871,0.803272799
